ProjectUUID,PersonUUID,Role
fd1bc026-6e92-4652-bb7e-7f9f8c47b4c7,0ee7ba1e-3108-4db3-a908-97977980d032,Co-Investigator
3fdee8d2-5455-4d30-87d7-3e036f3484c3,a4c1604d-b01f-46ef-baf3-74d2a8046d6b,Co-Investigator
3fdee8d2-5455-4d30-87d7-3e036f3484c3,f6921641-1f0a-4e24-a3a9-546e3927ab72,Co-Investigator
3fdee8d2-5455-4d30-87d7-3e036f3484c3,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Principal Investigator
d6357409-b52f-4d20-99d4-4a607a325c0a,1052b289-f510-4c5a-9662-2db48c12ebc2,Co-Investigator
e9497ea8-5e79-42ab-9c89-36b254fa121d,d3b41838-e2bf-4735-b1cd-03f60b49c7e5,Principal Investigator
bf53f45b-8894-4643-aa71-9d356a657584,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Principal Investigator
bc25c1fb-6f03-44c3-9f92-5cd7e68c76b0,443362d7-b255-460d-a559-0fa80a8d9fbc,Principal Investigator
bc25c1fb-6f03-44c3-9f92-5cd7e68c76b0,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Co-Investigator
bc25c1fb-6f03-44c3-9f92-5cd7e68c76b0,20ad2ae0-df32-484d-84ed-f65810600cfa,Co-Investigator
c73fb74d-2225-44a2-aba1-d1d40064f50e,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
a28175d7-f410-4592-b1ab-4435b67d289b,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
a28175d7-f410-4592-b1ab-4435b67d289b,d3b41838-e2bf-4735-b1cd-03f60b49c7e5,Co-Investigator
922f45db-36f2-4c36-bbd9-35d6bdc83cae,80784458-06f6-4eff-b0c8-df982ffa9835,Co-Investigator
50b46853-136e-44e5-91c9-289569813347,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
0c7a1bc5-ceb9-4812-b8bc-cec4bc2f19f8,22ec9269-2fff-4dbf-a9c7-5037559a15ee,Principal Investigator
b2007c46-b905-447f-9a57-e2699c43aa3c,a4c1604d-b01f-46ef-baf3-74d2a8046d6b,Principal Investigator
c7ff4234-d9d4-4a7d-92c0-23b4c971bfe9,a4c1604d-b01f-46ef-baf3-74d2a8046d6b,Co-Investigator
