paperUUID,expertUUID,role,name,lastname
211d9bc4-e8d1-420a-9f74-bc6c89c77e83,,Author,Anne,Rørbæk
0c032a91-5b6f-498f-8d2d-bac934ccccd3,,Editor,Pernille,Kræmmergaard
4f0bf314-53fc-4f93-b5e3-8d34327561cc,,Author,Pernille,Kræmmergaard
86b7f639-83b3-456c-900a-b923b3a238f4,,Author,Pernille Kræmmergaard,Jensen
b5601d21-e36e-49c5-9501-801bc6bfadd4,,Author,Pernille Kræmmergaard,Jensen
a69e6c74-05e9-4991-ae32-f0e554265796,,Author,Pernille,Kræmmergaard
b7b0e258-a85d-4755-856f-abf3732ec7ed,,Author,Paul,Rosero
11cbd6ed-4e5b-4e2e-adaa-699605e524dc,,Author,Paul,Rosero
3e55f0ab-a12b-41f3-8afa-4a6fe94df6e0,,Author,Paul,Rosero
7dbeac72-1f28-45eb-9285-74a66de446c8,,Author,Paul,Rosero
9c2a93f0-95d5-41df-9281-1e04dd00783c,,Author,Paul,Rosero
9c2a93f0-95d5-41df-9281-1e04dd00783c,,Author,Zsolt,István
9c2a93f0-95d5-41df-9281-1e04dd00783c,63342b24-28ec-40c5-a7d9-ec49867dc75d,Author,Pinar,Tözün
c301cc92-a219-4cdb-aefa-a53dd250e39b,,Author,Paul,Rosero
c301cc92-a219-4cdb-aefa-a53dd250e39b,,Author,Zsolt,István
7b1f5504-c134-4856-8007-edc76c250b09,,Author,Paul,Rosero
9f4c0db0-28df-4ae1-99ff-da701171f82a,63342b24-28ec-40c5-a7d9-ec49867dc75d,Author,Pinar,Tözün
9a4f5a37-e335-4e02-a28f-64f3ffecc8fb,,Author,Muhammad,Ali Babar
be9f62ab-f769-461f-b9fc-cd7a96420970,,Author,Roman,Beck
aa4a60db-27e5-4c5e-8fe5-6cf520734fad,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
215686a8-0289-480b-a055-183c9b8bb28a,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
275d7971-7c94-4f17-bf8c-a1070668dbaf,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
38bf4108-066c-4e3f-ab04-b971693612ee,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
1b2b5dd6-43ce-41c5-86c6-1a215acf3af3,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
c4dfa011-450e-4e3b-8832-9f7d1c9f1781,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
feb5200d-e1a1-4876-9343-0c7e81285856,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
feb5200d-e1a1-4876-9343-0c7e81285856,,Author,Elisabetta,Zurovac
7643dfe5-13c0-49e1-b65f-5c900b419e27,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
e0259a09-0930-4271-8f5f-6ae3e7a57b14,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
